Champion,Skin_Count,Speedup_2_to_3,Performance_Degradation_%,Total_Time_2_Threads_s,Total_Time_3_Threads_s,Time_Saved_s,Avg_Skin_Time_2_Threads_s,Avg_Skin_Time_3_Threads_s,Recommendation
Orianna,12,1.23,-2.4,9.51,7.73,+1.78,0.706,0.689,RECOMMEND 3 threads
Quinn,6,1.23,-2.6,4.79,3.91,+0.88,0.707,0.689,RECOMMEND 3 threads
Taric,7,1.23,-3.5,5.97,4.85,+1.12,0.623,0.601,RECOMMEND 3 threads
Twisted Fate,16,1.23,+8.5,11.74,9.54,+2.20,0.617,0.670,RECOMMEND 3 threads
Veigar,15,1.23,-3.9,11.38,9.28,+2.10,0.651,0.626,RECOMMEND 3 threads
Ambessa,1,1.22,-30.9,1.51,1.24,+0.27,0.740,0.511,RECOMMEND 3 threads
Anivia,12,1.22,+8.3,23.64,19.45,+4.19,3.035,3.286,RECOMMEND 3 threads
Blitzcrank,16,1.22,-0.6,10.51,8.59,+1.92,0.604,0.600,RECOMMEND 3 threads
Galio,9,1.22,-3.0,6.98,5.70,+1.28,0.683,0.663,RECOMMEND 3 threads
Ivern,5,1.22,-5.2,4.81,3.94,+0.87,0.717,0.680,RECOMMEND 3 threads
Kai'Sa,13,1.22,-6.7,12.38,10.14,+2.24,0.805,0.751,RECOMMEND 3 threads
Kayle,17,1.22,-5.8,14.11,11.56,+2.55,0.842,0.794,RECOMMEND 3 threads
Kindred,8,1.22,-3.6,7.46,6.13,+1.33,0.756,0.729,RECOMMEND 3 threads
Jarvan IV,15,1.21,-5.4,12.81,10.58,+2.23,0.754,0.713,RECOMMEND 3 threads
Jinx,14,1.21,-5.5,11.75,9.69,+2.06,0.796,0.752,RECOMMEND 3 threads
Riven,17,1.21,-5.5,14.98,12.41,+2.57,0.740,0.699,RECOMMEND 3 threads
Shen,12,1.21,-2.9,9.31,7.69,+1.62,0.641,0.622,RECOMMEND 3 threads
Yone,11,1.21,-4.1,9.82,8.11,+1.71,0.816,0.783,RECOMMEND 3 threads
Bard,9,1.20,-4.7,6.75,5.64,+1.11,0.656,0.625,RECOMMEND 3 threads
Kha'Zix,8,1.20,-4.8,7.29,6.06,+1.23,0.739,0.703,RECOMMEND 3 threads
Nami,13,1.20,-3.0,10.77,8.94,+1.83,0.754,0.731,RECOMMEND 3 threads
Sejuani,12,1.20,-1.5,9.39,7.80,+1.59,0.737,0.727,RECOMMEND 3 threads
Vladimir,13,1.20,+5.6,9.78,8.13,+1.65,0.639,0.675,RECOMMEND 3 threads
Zilean,8,1.20,-0.2,6.03,5.01,+1.02,0.607,0.606,RECOMMEND 3 threads
Sivir,18,1.19,-2.6,13.17,11.03,+2.14,0.684,0.666,RECOMMEND 3 threads
Sylas,9,1.19,-6.8,8.15,6.85,+1.30,0.758,0.706,RECOMMEND 3 threads
Tristana,15,1.19,-6.1,11.58,9.74,+1.84,0.645,0.606,RECOMMEND 3 threads
Brand,12,1.18,-1.7,8.28,6.99,+1.29,0.610,0.599,RECOMMEND 3 threads
